region,coal_type,jobs,risk
Vest,coal,4442.0,20.0
Západné Slovensko,Lignite,2190.0,20.0
Principado de Asturias,coal,1313.0,18.5
Moravskoslezsko,coal,10131.0,18.0
Münster,coal,9640.0,18.0
Sardegna,coal,348.0,17.0
Śląskie,coal,79548.0,17.0
Vzhodna Slovenija,Lignite,1274.0,17.0
South Yorkshire,coal,34.0,17.0
Castilla y León,coal,394.0,16.5
Yugozapaden,coal,991.0,16.0
Małopolskie,coal,4644.0,16.0
Sud-Vest Oltenia,Lignite,10600.0,16.0
Castilla-La Mancha,coal,219.0,16.0
North Yorkshire,coal,333.0,16.0
Derbyshire and,coal,80.0,16.0
Nottinghamshire,,,
Severozápad,Lignite,7869.0,15.5
Brandenburg,Lignite,3402.0,15.0
Lubelskie,coal,5769.0,15.0
Yugoiztochen,Lignite,10773.0,14.0
Dresden,Lignite,2783.0,14.0
Sachsen-Anhalt,Lignite,904.0,14.0
Leipzig,Lignite,1004.0,14.0
Wielkopolskie,Lignite,2079.0,14.0
Aragón,coal,1422.0,14.0
Łódzkie,Lignite,6388.0,13.5
Köln,Lignite,4420.0,13.0
Dytiki Makedonia,Lignite,4283.0,13.0
Peloponnisos,Lignite,636.0,13.0
West Wales and The,coal,367.0,13.0
Valleys,,,
Northumberland and,coal,723.0,12.5
Tyne and Wear,,,
Észak-Magyarország,Lignite,1655.0,12.0
Dolnośląskie,Lignite,1108.0,12.0
South Western Scotland,coal,241.0,12.0
East Wales,coal,184.0,12.0
Düsseldorf,Lignite,2578.0,11.0
