,tunit_name,solar,wind
0,BG34,15.39,14.05
1,BG41,15.16,14.05
2,CZ04,11.75,15.37
3,CZ08,11.91,38.19
4,DE40,11.8,14.41
5,DEA1,11.65,30.9
6,DEA2,11.69,20.28
7,DEA3,11.49,25.88
8,DEC0,12.23,15.25
9,DED2,11.76,17.08
10,DED5,12.08,28.46
11,DEE0,12.06,18.47
12,EL53,16.26,24.87
13,EL65,17.89,17.2
14,ES12,13.87,15.12
15,ES21,13.93,13.07
16,ES24,18.45,27.35
17,ES41,17.63,25.54
18,ES42,18.98,20.15
19,HU31,13.85,39.94
20,ITG2,17.8,16.3
21,PL11,12.0,41.85
22,PL21,12.01,55.08
23,PL22,11.95,67.41
24,PL31,12.1,28.15
25,PL41,11.99,22.84
26,PL51,12.03,16.16
27,RO41,14.87,60.01
28,RO42,13.96,11.58
29,SI03,13.97,8.88
30,SK02,13.56,16.79
31,UKC2,10.26,29.16
32,UKE2,10.42,25.08
33,UKE3,10.66,26.0
34,UKE4,10.32,4.73
35,UKF1,10.78,47.78
0,UKG2,10.82,63.84
1,UKL1,10.74,9.55
2,UKL2,10.7,17.12
3,UKM2,9.68,12.37
4,UKM3,9.8,9.6
