tunit_code,POST_2030,2030,2025,2030J,2025J,TOTAL
IE02,0.0,915.0,0.0,366.0,0.0,366.0
EL53,289.0,1736.0,1376.0,713.0,294.0,1008.0
EL65,0.0,0.0,511.0,0.0,210.0,210.0
ES11,1609.0,351.0,0.0,117.0,0.0,117.0
ES12,348.0,347.0,1428.0,115.0,474.0,589.0
ES24,0.0,0.0,1055.0,0.0,350.0,350.0
ES41,0.0,0.0,2594.0,0.0,861.0,861.0
ES42,296.0,0.0,0.0,0.0,0.0,0.0
ES61,1690.0,0.0,300.0,0.0,100.0,100.0
FR23,0.0,0.0,600.0,0.0,116.0,116.0
FR41,0.0,0.0,595.0,0.0,115.0,115.0
FR51,1160.0,0.0,0.0,0.0,0.0,0.0
FR82,0.0,600.0,0.0,116.0,0.0,116.0
HR03,0.0,0.0,335.0,0.0,0.0,0.0
ITC3,0.0,136.0,0.0,40.0,0.0,40.0
ITC4,0.0,0.0,139.0,0.0,41.0,41.0
ITF4,2960.0,320.0,0.0,94.0,0.0,94.0
ITG2,670.0,320.0,240.0,94.0,71.0,165.0
ITH3,0.0,485.0,320.0,143.0,94.0,237.0
ITH4,0.0,165.0,171.0,49.0,50.0,99.0
ITI2,0.0,0.0,130.0,0.0,38.0,38.0
ITI4,1980.0,0.0,0.0,0.0,0.0,0.0
HU21,0.0,239.0,55.0,181.0,42.0,222.0
HU31,0.0,736.0,100.0,557.0,76.0,632.0
NL11,0.0,1600.0,0.0,253.0,0.0,253.0
NL32,0.0,680.0,0.0,108.0,0.0,108.0
NL33,0.0,731.0,2140.0,116.0,339.0,455.0
NL41,0.0,643.0,0.0,102.0,0.0,102.0
AT12,0.0,392.0,0.0,236.0,0.0,236.0
AT22,0.0,0.0,220.0,0.0,132.0,132.0
AT31,0.0,150.0,0.0,90.0,0.0,90.0
BG32,167.0,0.0,167.0,0.0,290.0,0.0
BG33,88.0,0.0,88.0,0.0,152.0,0.0
BG34,1499.0,0.0,1499.0,670.0,2601.0,0.0
BG41,470.0,0.0,470.0,0.0,816.0,0.0
BG42,69.0,0.0,69.0,0.0,120.0,0.0
CZ02,227.0,0.0,227.0,820.0,428.0,0.0
CZ03,0.0,59.0,59.0,0.0,0.0,111.0
CZ04,164.0,102.0,266.0,3016.0,310.0,192.0
CZ05,445.0,106.0,550.0,0.0,840.0,200.0
CZ08,0.0,0.0,0.0,800.0,0.0,0.0
DK01,0.0,113.0,113.0,0.0,0.0,343.0
DK02,0.0,271.0,271.0,0.0,0.0,827.0
DK03,0.0,282.0,282.0,0.0,0.0,860.0
DK04,0.0,123.0,123.0,0.0,0.0,375.0
DK05,0.0,243.0,243.0,0.0,0.0,740.0
DE11,84.0,24.0,108.0,1238.0,348.0,100.0
DE12,0.0,0.0,0.0,1462.0,0.0,0.0
DE21,80.0,0.0,80.0,472.0,333.0,0.0
DE30,39.0,201.0,240.0,0.0,164.0,834.0
DE40,385.0,722.0,1107.0,0.0,1600.0,3000.0
DE50,114.0,0.0,114.0,330.0,475.0,0.0
DE60,0.0,43.0,43.0,1730.0,0.0,180.0
DE71,0.0,0.0,0.0,510.0,0.0,0.0
DE80,0.0,0.0,0.0,514.0,0.0,0.0
DE91,0.0,106.0,106.0,1080.0,0.0,440.0
DE92,72.0,0.0,72.0,0.0,300.0,0.0
DE94,0.0,0.0,0.0,1570.0,0.0,0.0
DEA1,473.0,447.0,920.0,4552.0,1966.0,1856.0
DEA2,326.0,739.0,1065.0,1012.0,1353.0,3070.0
DEA3,89.0,-176.0,-87.0,792.0,370.0,370.0
DEA4,0.0,0.0,0.0,875.0,0.0,0.0
DEA5,371.0,193.0,564.0,2268.0,1542.0,800.0
DEC0,233.0,126.0,359.0,726.0,966.0,524.0
DED2,241.0,0.0,241.0,1582.0,1000.0,0.0
DED5,0.0,0.0,0.0,1866.0,0.0,0.0
DEE0,0.0,231.0,231.0,0.0,0.0,960.0
DEF0,0.0,70.0,70.0,0.0,0.0,290.0
PL11,862.0,101.0,964.0,3936.0,1685.0,198.0
PL12,341.0,559.0,900.0,1120.0,666.0,2168.0
PL21,0.0,621.0,621.0,0.0,0.0,1214.0
PL22,1558.0,315.0,1873.0,900.0,3044.0,1746.0
PL33,461.0,0.0,461.0,675.0,900.0,0.0
PL34,80.0,0.0,80.0,0.0,157.0,0.0
PL41,321.0,748.0,1069.0,464.0,628.0,1461.0
PL42,660.0,69.0,729.0,0.0,1290.0,134.0
PL51,102.0,480.0,583.0,0.0,200.0,1399.0
PL52,686.0,-921.0,-235.0,370.0,1340.0,0.0
PL61,94.0,51.0,145.0,0.0,183.0,100.0
PL63,111.0,54.0,165.0,0.0,217.0,105.0
PT16,0.0,230.0,230.0,0.0,0.0,628.0
PT18,115.0,343.0,458.0,0.0,314.0,936.0
RO11,0.0,82.0,82.0,0.0,0.0,145.0
RO21,113.0,0.0,113.0,0.0,200.0,0.0
RO31,0.0,85.0,85.0,0.0,0.0,150.0
RO41,1727.0,254.0,1981.0,990.0,3065.0,450.0
RO42,293.0,444.0,737.0,0.0,520.0,788.0
SI03,242.0,331.0,573.0,0.0,600.0,820.0
SK02,138.0,139.0,277.0,0.0,133.0,133.0
SK04,229.0,0.0,229.0,0.0,220.0,0.0
FI19,486.0,145.0,632.0,0.0,803.0,240.0
FI1B,211.0,69.0,280.0,0.0,349.0,114.0
FI1C,0.0,235.0,235.0,0.0,0.0,388.0
SE11,0.0,115.0,115.0,0.0,0.0,114.0
UKC2,0.0,98.0,98.0,0.0,0.0,420.0
UKD6,0.0,466.0,466.0,0.0,0.0,2000.0
UKE2,461.0,350.0,811.0,0.0,1980.0,1500.0
UKE4,0.0,117.0,117.0,0.0,0.0,500.0
UKF1,229.0,1152.0,1381.0,0.0,981.0,4943.0
UKG2,117.0,117.0,233.0,0.0,500.0,500.0
UKL2,233.0,117.0,350.0,0.0,1000.0,500.0
UKM2,140.0,419.0,559.0,0.0,600.0,1800.0
UKN0,0.0,121.0,121.0,0.0,0.0,520.0
